learning_case,central_component_case,year,direct_capex_share_of_installed_capex,stack_share_of_direct_capex,stack_share_of_installed_capex,nonstack_equipment_share_of_installed_capex,bop_epc_share_of_installed_capex,stack_embodied_newbuild_capital_saving_share,nonstack_equipment_newbuild_capital_saving_share,bop_epc_newbuild_capital_saving_share,total_newbuild_capital_saving_share,incumbent_stack_embodied_share_of_newbuild_capital_saving
base,False,2038,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.15438923494022572,0.3793892349402257,0.2965292360436237
base,False,2039,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.15670806045248098,0.38170806045248096,0.2947278605189559
base,False,2040,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.15881974886863182,0.3838197488686318,0.29310633528267155
base,False,2041,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.1612176300772517,0.3862176300772517,0.29128654737355625
base,False,2042,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.16339200553725636,0.38839200553725634,0.2896558075246183
base,False,2043,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.16537991113528694,0.3903799111352869,0.2881808125649501
base,False,2044,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.16720995615463102,0.392209956154631,0.2868361657694539
base,False,2045,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.16890468999470076,0.39390468999470074,0.2856020830864275
base,False,2046,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.17048219415219862,0.3954821941521986,0.2844628700444226
base,False,2047,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.17195718473490051,0.3969571847349005,0.2834058793396843
base,False,2048,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.17334179540775457,0.39834179540775455,0.28242077857996706
base,False,2049,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.17464614568602577,0.39964614568602574,0.28149902411015226
base,False,2050,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.175,0.39999999999999997,0.28125
base,False,2051,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.175,0.39999999999999997,0.28125
base,False,2052,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.175,0.39999999999999997,0.28125
base,False,2053,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.175,0.39999999999999997,0.28125
base,False,2054,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.175,0.39999999999999997,0.28125
base,False,2055,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.175,0.39999999999999997,0.28125
base,False,2056,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.175,0.39999999999999997,0.28125
base,False,2057,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.175,0.39999999999999997,0.28125
base,False,2058,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.175,0.39999999999999997,0.28125
base,False,2059,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.175,0.39999999999999997,0.28125
